cc_wet,cc_dry,uc_wet,uc_dry,tree_dens,basal_area,absolute_cover,tree_height,NEAR_RANGER,NEAR_EDGE,NEAR_WATER,NEAR_URBAN,NEAR_ROAD,PATHCOST_EDGE,PATHCOST_URBAN,POINT_KDA,Point_Count
0.94,0.93,0.58,0.2,529.02,1240,65.6,15.49,3946,3015,3004,3511,2896,22455,25474,0.004196,165.98
0.92,NA,0.48,NA,NA,NA,NA,NA,3780,1855,1905,2515,2237,15563,19254,0.003815,703.55
NA,0.71,0.81,0.4,381.11,1098,41.85,13.8,2595,2104,2059,2503,1927,16155,18064,0.004064,93.5
0.93,0.88,0.15,0.39,612.12,411,25.16,10.48,880,1066,1142,1119,974,8046,8035,0.002193,158.68
0.92,NA,0.27,0.32,NA,NA,NA,NA,1650,45,53,284,224,8981,1007,0.033545,829.8
0.93,0.69,0.36,0.4,NA,NA,NA,NA,2104,1134,1002,1626,2812,9069,10420,0.008425,779.79
0.93,NA,0.45,NA,52.43,1395,7.32,21.4,4474,3427,7258,6950,3233,29144,32090,0.001455,114.9
NA,0.89,NA,0.62,458.75,1065,48.86,12.98,2557,1245,1248,1739,2616,9747,11260,0.006242,1006
NA,0.64,NA,0.88,582.97,525,30.61,11.99,1727,1410,1408,1707,1682,11984,13624,0.001642,136.75
NA,0.64,NA,0.39,500.12,1074,53.71,16.03,1257,1021,1017,1406,891,7990,9768,0.005116,847.15
